type_name,type_id,lon,lat,temperature_c,precipitation_mm,relative_humidity,wind_speed_ms,solar_radiation
Forest fire,3,92.3972,59.9087,21.44,0.11,72.33,0.33,4.68
Forest fire,3,92.745,60.1002,21.44,0.11,72.33,0.33,4.57
Forest fire,3,92.4705,60.3284,23.11,0.02,63.12,0.43,4.57
Forest fire,3,92.431,60.3725,23.11,0.02,63.12,0.43,4.57
Forest fire,3,92.9968,60.5635,22.71,0.04,67.75,0.41,4.57
Forest fire,3,93.1268,60.5451,22.71,0.04,67.75,0.41,4.57
Forest fire,3,93.2638,60.5602,22.71,0.04,67.75,0.41,4.57
Forest fire,3,93.3325,60.4414,22.71,0.04,67.75,0.41,4.57
Forest fire,3,93.7137,60.3715,22.62,0.08,70.08,0.37,4.57
Forest fire,3,93.2874,59.9652,20.57,0.25,75.73,0.37,4.68
